Subject,Number,Name,Description,Credit Hours
ACC,3500,Independent Study,Prerequisite: 54 earned hours,1-4
ACC,3510,Junior Honors Thesis,Independent study and research project directed by a departmental faculty advisor on a topic of mutual interest to both student and advisor. The thesis should be completed during the student’s junior and senior years and includes a formal presentation to the college faculty.,1-3
ACC,3520,Instructional Assistance,A supervised experience in the instructional process on the university level through direct participation in a classroom situation.,1
ACC,3530,3549 - Selected Topics,Prerequisites: 54 earned hours,1-4
ACC,3555,Accounting Analytics,"This class is an introduction to the analytics tools and methods most often used by professional accountants. The topics covered include the Excel functions and features, visualization tools, and analytics applications most often used by accountants, the accounting analytics process, interpreting and reporting analytics results, and hands-on application of accounting analytics procedures with audit, financial statement, managerial, and tax analytics projects.",3
ACC,3560,Accounting for Non-Profit Organizations,"Application of principles of accounting, budgetary control, and financial management to nonprofit organizations. Discussion and cases will be drawn from municipal and county governmental units, universities, hospitals, and other nonprofit organizations.",3
ACC,3570,Accounting Systems and Internal Control,"An in-depth treatment of internal control and related accounting procedures; authorization and documentation; flowcharting, data flow diagrams, and scheduling. Design of information systems that process financial transactions for financial and management accounting, and to meet legal requirements for adequacy of accounting records and internal controls. Development of skills and expertise required for the study of contemporary accounting systems and internal auditing. Knowledge of a computer programming language is desirable but not essential.",3
ACC,3580,Individual Income Taxation,"Concepts and methods of determining federal income tax liability for individuals. Topics emphasized include personal deductions, tax credits, capital gain and loss provisions and accounting methods. Emphasis is also placed on research methodology and individual tax planning.",3
ACC,3585,Issues in International Taxation,"A study of selected issues in international taxation, with a focus on U.S. taxation applied to economic activity with an international element. As the course satisfies the College of Business’ global requirement, several non-tax topics dealing with foreign countries and their residents are covered. Topics discussed will include US income taxation of foreign transactions, tax treatises, residency status, foreign tax credit, visas, sourcing of income, US taxation of nonresident aliens and foreign corporations, comparison of US international tax law with the tax system of other countries, multi-jurisdictional concepts.",3
ACC,3590,Assessing Sustainability in a Global Business Environment,"This course explores the process of measuring and reporting on the performance of business operations from three different sustainability perspectives: economic prosperity, environmental quality, and social justice. These three perspectives make up the conceptual “triple bottom line”, a generally accepted term for assessing sustainability performance, which indicates the ability of a company to be viable using available financial, natural, and social resources. A primary objective in this course is to develop an understanding of the concept of sustainability as it applies to businesses, and how global differences in economic conditions, cultures, codes of ethical conduct, environmental conditions, natural resources, human resource management, social issues, and other factors can impact sustainability performance assessment. This course will also incorporate an international perspective and will meet the “Global Issues” requirement for the Bachelor of Science in Business Administration degree.",3
ACC,3900,Internship,,"3, 6 or 9"
ACC,4500,Independent Study,Prerequisites: 84 earned hours and a minimum grade of “C” (2.0) in any Writing in the Discipline (WID) course.,1-4
ACC,4510,Senior Honors Thesis,Independent study and research project directed by a departmental faculty advisor on a topic of mutual interest to both student and advisor. The thesis should be completed during the student’s junior and senior years and includes a formal presentation to the college faculty.,1-3
ACC,4530,4549 - Selected Topics,Prerequisites: 84 earned hours and a minimum grade of “C” (2.0) in any Writing in the Discipline (WID) course.,1-4
ACC,4550,Intermediate Accounting III,,3
ACC,4560,Introduction to Auditing,"Topics include selected auditing standards, processes for conducting an audit, types of services, analysis of reports, ethics, internal control considerations, and data analytics used in the auditing profession.",3
ACC,4580,Taxation of Business Entities,"Examination of the tax system faced by businesses operating in the United States. Business entities covered include C Corporations, S Corporations and partnerships. Topics include business formations, transactions between the entity and the owners, distributions, liquidations and reorganizations. Projects facilitate knowledge development of a variety of professional skills.",3
ACC,4590,Advanced Accounting,"An examination of the special problems in accounting for business combinations and consolidated entities, and foreign currency translation. A critical comparison of SEC accounting report requirements and generally accepted accounting principles. Accounting issues in partnership formation, reporting and liquidation.",3
ACC,4710,Advanced Management Accounting in a Global Context,"Advanced topics in management accounting, costing, and Financial Planning & Analysis in the global environment. Includes management of manufacturing, inventory, quality and performance costs. Discussion of qualitative issues and analysis; ESG and integrated reporting; regulation and ethical issues across the global environment; emerging trends and technologies; and the profession and its changing role in a rapidly-changing, global context.",3
ACC,4730,Accounting and International Business,A study of selected issues in accounting for international business and related effects on organizational and operating decisions.,3
ACC,4760,Internal Auditing,"An introduction to selected internal auditing topics, including types of services, an overview of the internal audit process, preparation and analysis of reports, internal auditing standards, professional responsibilities, and the code of ethics.",3
ANT,1415,Understanding Culture,"This course explores the diversity and unity of human experience through the lens of cultural anthropology. Using case studies and other texts, students will gain familiarity with different cultural worlds. As they do so, they will be asked to think critically about their own cultural ideas and actions, to reflect on problems facing humanity in the contemporary world, and to understand the various ways in which they are historically and socially connected to other people in other places.",3
ANT,1420,Archaeology and the Human Past,"An introduction to the human past through the scientific process of archaeology. Controversial issues discussed may include human evolution, the fate of the Neandertals, peopling of the Americas, and the cycling of state-level societies. Ultimately, lessons from the past are considered in light of contemporary human issues.",3
ANT,1425,Mythbusting in Archaeology,"This course takes a critical look at some of the fantastic interpretations of ancient ruins and artifacts that make popular subjects for television shows, magazine articles, books, and the web-interpretations that we might call “pseudoscience.” Specifically, we explore a series of questions that often attract pseudoscientific claims about the past: Who came to the Americas before Columbus? Was Atlantis the ultimate source of all ancient civilizations? Did astronauts help the Egyptians and Mayans build their pyramids? Do we have unequivocal evidence for Noah’s Ark? In each of these cases, we will consider how archaeologists use scientific methods to evaluate evidence put forth to explain past events and cultural achievements. At the same time, we will seek to better appreciate how scientific and non-scientific ways of knowing the past articulate with contemporary communities both local and global.",3
ANT,1430,Our Primate Heritage,"This course examines humans within an evolutionary and biocultural perspective. Students will be introduced to classic and contemporary literature on topics in human evolution and will have the opportunity to make their own observations and analyses within the laboratory. We will explore theoretical frameworks and controversies about important issues such as the nature of science, human variation, and the relationship between humans and our environment. Students will become familiar with evolutionary theory and heredity, primate evolution and basic comparative anatomy, and the fossil record of human evolution. Lecture three hours, laboratory two hours.",4
ANT,1530,1549 - Selected Topics,An opportunity to study a special topic or a combination of topics not otherwise provided for in the anthropology curriculum.,1-4
ANT,2100,East Asia Through Ethnography,"This course explores both the shared cultural practices and diverse social experiences of peoples across East Asia (China, Korea, Japan, Taiwan, Mongolia). Drawing on ethnographic writings and primary accounts by indigenous scholars, this course will explore a range of topics, including the family and religion, ethnic and political relations, gender and bodily practices, war and revolution, economic development and migrant labor, as well as other contemporary issues or special topics.",3
ANT,2215,Cultural Anthropology,"The course consists of a critical introduction to fundamental ethnographic concepts, theories, methods, textual representations, and contemporary issues and debates encompassed by the sub-discipline of cultural anthropology.",3
ANT,2221,Archaeology,"The scientific study of the unwritten record of the human past. Archaeological theory, methods, and techniques are introduced to illustrate how and why archaeologists study past human life and behavior and explain past human cultural variation.",3
ANT,2222,The Living Primates,"In this course, students will be introduced to the diversity, evolution, biology, and behavior of the extant nonhuman primates, including lemurs, lorises, tarsiers, monkeys, and apes, through lectures, films, readings, discussions, and laboratory exercises.",3
ANT,2230,Biological Anthropology,"Biological anthropology is the study of human and non-human primate origins, evolution, and biology within an evolutionary and bio-cultural framework. Topics include evolutionary theory and heredity; the evolution, anatomy, and lifestyles of living and fossil primates; a bio-cultural framework for understanding human evolution; the hominin fossil record; adaptive challenges of the past 10,000 years (sedentism, urbanism, food production, culture contact, health changes); modern human variation; and the use of human skeletal biology to address medico-legal questions. This course may include work with human skeletal remains.",3
ANT,2235,North American Archaeology,"To discover the unwritten history of Native North America, archaeologists study the material remains of pre-Columbian cultures. The course will also explore these societies from a comparative, anthropological perspective. Major emphasis will be placed on indigenous groups of the American Southeast, Arctic, Northwest Coast, Great Plains, and Southwest. Students will also learn to appreciate contemporary ethical challenges and collaborative opportunities in North American archaeology.",3
ANT,2240,African Archaeology,"This course draws on archaeology to survey the long-term development of African innovations, civilizations, and globalization–from the first humans to post-colonial states. By comparing case studies across the continent, we explore how these processes have shaped the complex histories of African societies and identities, and their relation to contemporary discourse about Africa.",3
ANT,2300,Meso American Cultures,"Introduction to the cultures and peoples of Mexico, Belize, Guatemala, and Honduras. Readings and lectures will focus on language, art, and political economy as vehicles for the expression of beliefs.",3
ANT,2310,Appalachian Culture,"A cultural survey of rural and urban Appalachia. A brief history of the region is followed by a discussion of the contemporary social, economic, political, and cultural characteristics of the people. The impact of processes of change, including migration, urbanization, industrialization, and resource exploitation, are explored.",3
ANT,2330,Neandertals,"This course studies Homo sapiens neanderthalensis from a paleoanthropological perspective. Based on recent DNA evidence, Nean- dertals are currently considered to be a subspecies of Homo sapiens sapiens. Yet they are still largely mischaracterized and remain something of an enigma - why is this? Why did Neandertals disappear so quickly as Homo sapiens sapiens spread throughout the world between 50,000-30,000 years ago even though they had successfully survived very cold pulses of the Late Pleistocene 200,000 years ago or more? This course examines the adaptation of Neandertals from biological, technological, social, and ecological evidence in order to answer these and other related questions.",3
ANT,2340,Bronze Age Civilizations,"What explains the rise and fall of past civilizations? How did the first cities promote increasingly global scales of economic and cultural interaction? And how do early states and empires reflect on our own experience of citizenship and globalization in the 21st century? This course follows in the footsteps of archaeologists to explore these questions through a comparative survey of ruins, artifacts, and texts from complex societies across Eurasia during the so-called Bronze Age circa 3500-1000 BCE. Focusing on case studies from Mesopotamia, Egypt, Greece, Scandinavia, India, and China, the course lectures and readings will outline common trajectories, historical differences, and growing interconnections among the ancient societies of these regions.",3
ANT,2400,Native America Through Ethnography,"The course investigates current American Indian societies and issues. Students will read recent ethnographies written by and about Native peoples that bring attention to critical issues such as nation-building, citizenship, identity, material culture, and sociopolitical movements. The course includes an overview U.S. Indian policy since contact, providing the historical context for understanding contemporary issues facing Native Nations today.",3
ANT,2420,"Gender, Race and Class","An anthropological study of gender, social class, ethnicity, race and sexuality as cultural categories with a variety of meanings. Systems of inequality and the ways in which these categories are used to limit access to economic wealth, power, and prestige are analyzed in a global context.",3
ANT,2430,"Magic, Witchcraft and Religion",A cross-cultural study of the nature and functions of belief systems. Emphasis is placed on understanding the belief systems of non-Western cultures in order to provide a means through which our own beliefs can be better understood. A variety of anthropological and psychological approaches to the study of belief systems are used.,3
ANT,2440,From Savages to Cyborgs,,3
ANT,2500,Independent Study,,1-4
ANT,2530,2549 - Selected Topics,An opportunity to study a special topic or a combination of topics not otherwise provided for in the anthropology curriculum.,1-4
ANT,2550,Anthropology Professionalization,"The purpose of this one credit hour course is to provide students with a glimpse into the “professionalization” side of anthropology which will help a young scholar to negotiate the oft-required but rarely illuminated roads that will emerge after graduation. Topics include (but are not limited to) how to present oneself on paper, online, and at conferences; how to apply for jobs; how to construct a CV/resume; how to apply to graduate programs; and how to address the various challenges that a new graduate might face.",1
ANT,2700,South Asia Through Ethnography,"This course explores human life in South Asia (India, Pakistan, Bangladesh, Nepal, Sri Lanka) through ethnographic and culture historical accounts by anthropologists and others. Attending to both similarities and differences among South Asian peoples, the course offers breadth through a survey of general topics (family, religion, caste, gender, colonialism, politics, etc.) as it also scrutinizes in depth a specific topic of contemporary concern, such as untouchability, ethnic strife, religious nationalism, postcolonialism, the South Asian diaspora, or globalization.",3
ANT,2800,Latin America Through Ethnography,"This course offers a critical examination of recent and well-received ethnographies on the cultures and regional histories of Latin America (Guatemala, Mexico, Bolivia, Peru, Ecuador, and Chile) with the hope that by taking a multi-framed approach to reading and discussing these contributions, we may better understand both the similarities and differences Latin America has with other world areas. Topics to be discussed include tourism, development, indigenous activism, democracy, transnationalism, violence, performance, health, citizenship, and social movements.",3
ANT,3120,Field Archaeology,"An introduction to methods and techniques of archaeological site survey, mapping, and excavation. Students participate in fieldwork on one or more actual archaeological sites.",3-6
ANT,3200,Zooarchaeology,"Trains students in the identification and analysis of animal remains (primarily bone and shell) recovered from archaeological sites. Students are provided the opportunity to learn the major bones of vertebrates and the hard anatomy of invertebrates and how to identify several species by their distinctive bones or shells. Various approaches to the quantification and analysis of archaeofaunal data are explored. Lecture two hours, laboratory two hours.",3
ANT,3220,Human Biological Variation,"This course provides a survey of theoretical frameworks in biological anthropology, beginning with an examination of the history and development of evolutionary theory, the modern synthesis, and the “New Physical Anthropology.” Feminist critiques, objections to the adaptationist program, and the development of biocultural approaches to human biology will be examined and applied to the study of patterns and processes in human evolution. Issues to be addressed in this course include the evolution of primate life histories, the origin of modern human biological variation, human reproduction, and evolutionary medicine.",3
ANT,3250,Archaeological Laboratory Methods,"Trains students in the processing and analysis of materials recovered from archaeological sites such as artifacts, ecofacts, and sediment samples. Numerical data are produced and analyzed using computer data base systems. Lecture two hours, laboratory two hours.",3
ANT,3260,Microscopy in Archaeology,"Students will learn how to use an array of microscopic instruments (stereomicroscopy, metallurgical microscopy, and digital microscopy) to identify, record, and interpret attributes of lithic, faunal, and ceramic artifacts related to manufacture, use, or decoration. Archaeological and experimental specimens will be microscopically inspected to differentiate raw materials, lithic use-wear traces, cutmarks on bones, surface decoration of ceramics, etc. Following contemporary procedures in archaeological science, these observations will be integrated in a proper analytical manner in order to prepare technical reports on the same.",3
ANT,3270,Archaeology of the Native South,"An introduction to the prehistory of the Southeastern United States, from Pleistocene migrations to North America to contact with European colonizers. Emphasizes current research trends in the region, including indigenous economies, politics, and religion, and the various ways in which archaeologists tackle these subjects for the Archaic, Woodland, and Mississippian periods.",3
ANT,3275,Globalization and Heritage in Africa,"Responding to global flows of capital, people, goods, and ideas, many rural communities across Africa now find themselves struggling to define and preserve expressions of heritage such as customs, crafts, language, landmarks, sacred spaces, ancestral places, and so forth. And yet when heritage becomes equated with “tradition” in popular and political discourse, we may risk silencing deeper histories of global entanglement-the rise and fall of precolonial states, the Atlantic slave trade, religious conversion, and colonial empire-over the past few centuries.",3
ANT,3300,Human Osteology,"This course is designed to provide students with an in-depth knowledge of the human skeleton and dentition. We will examine bones and teeth as dynamic elements that grow, develop, and degenerate throughout the lifespan. Topics covered include bone and tooth biology, micro-structure, and gross anatomy including important features and landmarks of each element.",3
ANT,3305,Forensic Anthropology,"This course provides students with a broad overview of the field of forensic anthropology - its history, theory, method, and practice. Forensic anthropology is the application of anthropological science to medico-legal questions. This discipline is important for legal and humanitarian reasons and the curriculum will cover case studies that illustrate the ethical and human rights implications of its application. The course will also cover the history of the discipline, practical aspects of identification (sex, ethnicity, age, stature, body mass, and other identifying characteristics in the human skeleton), and forensic anthropological perspectives on pathology and trauma. Students will complete lab assignments and case reports designed to lead to basic proficiency in forensic anthropology.",3
ANT,3320,Primatological Field Methods,"An introduction to the planning, conduct, and presentation of scientific research in the field of primatology. This course will familiarize students with field methods used in primate ethology and tropical ecology (including field and laboratory methods), and students will receive hands-on field research training in field methods used in habitat and trail mapping, primate censuses and surveys, collection of behavioral data, collection of botanical data, and monitoring of ecological variables. Each student will design and conduct, and present an independent research project on a topic of their choice related to primate behavior and ecology. Course may be taught as a field course in Costa Rica, Indonesia, or other primate habitat countries.",3
ANT,3350,Primate Behavior and Ecology,"An examination of primate behavioral adaptations and the relationships among environmental variables, primate morphology, and behavior. Relevant theoretical developments in ecology and evolution will be introduced, and classic and recent texts in primatology will be discussed. Topics include tropical forest ecology, interspecific interactions, primate diets and feeding adaptations, habitat preferences, ranging patterns, positional behavior, social organization and mating systems, communication, and conservation biology.",3
ANT,3405,Quantitative Methods in Anthropology,"An introduction to how computers, quantitative methods, and anthropological data are used to address anthropological questions. The course focuses on hands-on learning in: basic personal computer operations, the Internet, probability theory, data base management, sampling, research design, categorical analysis, linear regression, correlation, and exploratory data analysis. Students will work with original archaeological, bioanthropological, and cultural data on personal computers.",3
ANT,3410,Ethnographic Methods,"An introduction to the art of fieldwork in anthropology, and the methods and practices of research used by anthropologists to create ethnographic works in written, visual, and aural formats. Research design, proposal writing, and research ethics are given special attention.",3
ANT,3420,Women and Gender in Anthropology,"Examination of feminist theoretical issues concerning women and gender cross-culturally, such as feminist perspectives on the cultural construction of gender, relations of production and of reproduction, and gender as a central analytic category. Based in ethnographic information from foraging, tribal, and state societies.",3
ANT,3500,Independent Study,,1-4
ANT,3520,Instructional Assistance,A supervised experience in the instructional process on the university level through direct participation in a classroom situation.,1
ANT,3530,3549 - Selected Topics,An opportunity to study a special topic or combination of topics not otherwise provided for in the anthropology curriculum.,1-4
ANT,3555,Ceramics for the Archaeologist,"Fragile yet indestructible, ceramic artifacts are a significant portion of the archaeological record around the world. Through careful analysis, archaeologists use ceramics to date assemblages and sites, trace production through craft economies, untangle ancient exchange networks, and infer the social identities of potters. In this course, successful students will learn both basic and advanced techniques for archaeological ceramic analysis through a combination of lectures, hands-on activities, and original research.",3
ANT,3560,Archaic States,"Archaeology is uniquely positioned to explore the (pre)history of complex political regimes-what we now call the State-through the study of material culture, human remains, and spatial order. This course will adopt a comparative approach to “archaic” forms of the State as we address three interrelated questions: How does the State emerge in different times and places over the past several millennia? How does the State draw on diverse sources of power to institute the authority of the few over the many? And how does the State intersect with social identities and communities of people subject to or beyond its rule? We will also consider whether our own experience of political power must always frame our responses to these questions-in other words, how can archaeology offer historical visions of the State that are not simply crude reflections of the modern world? Schedule type: Seminar",3
ANT,3600,Archaeological Theory,"How do archaeologists interpret the past from the material artifacts and sites we uncover in the present? How do our interpretations speak to wider anthropological discussions of human biology, history, language, and culture? And does archaeology matter? In this course we address these questions through a critical foray into the conceptual and theoretical foundations of anthropological archaeology-from its colonial roots, through its maturation as a discipline in the 20th century, to its ongoing diversification today. We also explore how archaeology draws on and contributes to public conversations and intellectual trends across the social sciences and humanities.",3
ANT,3610,Anthropology of Environmental Justice,"An introduction to the Environmental Justice movement using an anthropological perspective, which considers Environmental Justice as a social movement and a body of critical scholarship. Environmental Justice offers a framework for examining human rights and ecological health in the contemporary world, making connections between race, ethnicity, gender, poverty, power, and environmental problems. Students will look at case studies from North Carolina while also taking a comparative perspective through international case studies.",3
ANT,3620,Political Ecology and Sustainability,"An introduction to the interdisciplinary field of political ecology as an important critical approach in contemporary anthropology. The course uses in-depth examples to understand how current global issues like sustainability, conservation, and land management regimes can be critically engaged through the lenses of history and power. Students in the course will study several political ecology ethnographies to deepen their critical awareness of past and present struggles over land use, natural resources, and other embattled human-environment relationships.",3
ANT,3625,History of Anthropological Ideas,"A critical examination of the most influential ideas and theories in anthropology from the 19th century to contemporary theoretical schools, viewed in historical context. Changing conceptions of research strategies, research questions, and modes of explanation, as they relate to developing ideas about the nature of anthropology and human culture, are explored.",3
ANT,3630,Epistemology and Praxis,GEN ED: Junior Writing in the Discipline (WID),3
ANT,3635,Political Anthropology,GEN ED: Junior Writing in the Discipline (WID),3
ANT,3640,Language and Culture,"An overview of the complex relations between language, culture, and society as conceived by linguists and anthropologists. The course takes both an historical and an ethnographic approach to language, and involves close readings of theoretical works on language as well as comparative, cross-cultural readings in the ethnography of speaking.",3
ANT,3645,Anthropology of Violence,GEN ED: Junior Writing in the Discipline (WID),3
ANT,3660,Medical Anthropology,Gen Ed: Junior Writing in the Discipline (WID).,3
ANT,3680,Environmental Anthropology,"This course explores how anthropologists understand the human and cultural dimensions of environmental problems. Or, to put it another way, the intersection of nature and culture. Environmental anthropologists examine how different sociocultural groups - from hunter-gatherers in the Amazon to rangers in national parks in the United States - have conceptualized, categorized, valued, and acted upon the non-human world. We will explore theories, methods, and applications of environmental anthropology. The field examines issues of vital concern today: how humans shape and are shaped by our surroundings.",3
ANT,3800,Ethnographic Writing,"The general purpose of this course is to explore the nature of ethnographic representation and alternative approaches to writing. In order to accomplish this, the course will focus on three main activities: (1) reading of some current critiques and analyses of ethnographic representation; (2) reading different forms of ethnographic writing by others, including realist, confessional and impressionist tales; and (3) writing different forms of ethnographic writing.",3
ANT,3820,Anthropology of Media,"In this course, we consider from an anthropological perspective the nature and force of mass media in cultural life. The anthropology of media can be understood as a natural history of the human senses in relation to science and technology, while additionally considering these shifts in connection to social and political phenomena. As we map this particular history of the senses primarily through ethnographies and other literary forms, we want to keep in mind these questions: (1) What structural, psychic, and social forms of life are made possible by the technologization, and more recently, the electronification of communication in various milieus? (2) How does the materiality of media itself transform the human experience of space-time? (3) What is the role of media in the production of difference and understandings of the self? This is a theory-driven course with a lab component, where students will be asked to explore philosophical questions through multimedia projects produced in the Ethnography Lab.",3
ANT,3940,Ethnographic Field School,"Students will be immersed in a particular cultural context and learn to use standard ethnographic techniques to analyze and interpret the culture. Each student will live in a local community, participating in its daily activities. There will be instruction in the use of qualitative methods, such as observation, mapping, genealogies and life histories, formal interviewing, and cultural domain analysis. A research paper on a topic selected in consultation with the instructor will be required.",2-6
ANT,3950,Field Methods in Linguistics,"In this course, students will have the opportunity to learn methods in language documentation and analysis, and will construct their own description of the language from scratch, through direct elicitations from a native-speaker consultant, in addition to testing previously created field grammars and associated lexicon. The course is structured to provide students with a hands-on experience in collecting, processing, and analyzing linguistic data for the purposes of language documentation and description. By the end of the course, participants will have become familiar-not just with the structure of an unfamiliar language-but also with the basic methodologies of linguistic fieldwork (elicitation and text analysis).",3
ANT,4225,Meaning,"Culture is often described generally as a system of shared meanings. Using semiotic and existential-phenomenological approaches in anthropology, this seminar will look not so much at WHAT the meanings are that people may share, but rather at the WAYS in which meanings are conveyed, silenced, changed, and imagined by human beings in their cultural contexts.",3
ANT,4230,Magic and Modernity,"Modernity is often characterized by a constellation of features such as rationality, objectivity, linear time, bureaucracy, and progress. Anthropology arose as a discipline of modernity. Yet many of the worlds that anthropologists study are enchanted worlds where the dead speak, ghosts act, and magic works. This seminar analyzes what happens when modernity meets such enchanted modes of human existence and explores how anthropology might grapple with the problem of using rational methods to understand magical worlds.",3
ANT,4231,Capstone: Magic and Modernity,"Modernity is often characterized by a constellation of features such as rationality, objectivity, linear time, bureaucracy, and progress. Anthropology arose as a discipline of modernity. Yet many of the worlds that anthropologists study are enchanted worlds where the dead speak, ghosts act, and magic works. This seminar analyzes what happens when modernity meets such enchanted modes of human existence and explores how anthropology might grapple with the problem of using rational methods to understand magical worlds.",3
ANT,4240,Politics of Ethnicity,"The history and experiences of indigenous groups have long captured the interest and commitment of anthropologists. Recently, studies have focused on indigenous movements and declarations made in reaction to both state-making processes and neoliberal restructuring reforms of the twentieth-century and beyond. Anthropologists have framed their interpretations and understandings of these movements with attention paid to various topics including power, representation, domination and resistance, hegemony, state-making processes, citizenship, organizing, and performance. This seminar will introduce students to numerous case studies with which they will gain an understanding of the cultural and historical foundations from which are built indigenous movements and their particular strategies.",3
ANT,4241,Capstone: Politics of Ethnicity,"The history and experiences of indigenous groups have long captured the interest and commitment of anthropologists. Recently, studies have focused on indigenous movements and declarations made in reaction to both state-making processes and neoliberal restructuring reforms of the twentieth-century and beyond. Anthropologists have framed their interpretations and understandings of these movements with attention paid to various topics including power, representation, domination and resistance, hegemony, state-making processes, citizenship, organizing, and performance. This seminar will introduce students to numerous case studies with which they will gain an understanding of the cultural and historical foundations from which are built indigenous movements and their particular strategies.",3
ANT,4245,Hegemony and Power,"This seminar focuses on the lasting impact that Antonio Gramsci and Michel Foucault have had on the thinking of cultural anthropologists, particularly in relation to the way in which various institutions, knowledge practices, and power come together to shape the relationship between the individual and larger society. In this seminar, students will read directly from their work, and from the work of scholars influenced by them, in order to gain a working knowledge of the ideas and writings of these foundational thinkers as they relate to anthropology.",3
ANT,4246,Capstone: Hegemony and Power,"This seminar focuses on the lasting impact that Antonio Gramsci and Michel Foucault have had on the thinking of cultural anthropologists, particularly in relation to the way in which various institutions, knowledge practices, and power come together to shape the relationship between the individual and larger society. In this seminar, students will read directly from their work, and from the work of scholars influenced by them, in order to gain a working knowledge of the ideas and writings of these foundational thinkers as they relate to anthropology.",3
ANT,4250,"Biology, Technology, and Culture","In this course, we will examine the relationship between technological innovations, human biology and environments, and culture from a holistic perspective through selected readings, discussion, and written critiques. Specific topics will include competing constructions of science and nature, the biological, social, and cultural consequences of agriculture, industrialization and the chemical revolution, energy technologies, and biomedical technologies including stem cell research, assisted reproduction, and genomic medicine.",3
ANT,4251,"Capstone: Biology, Technology, and Culture","In this course, we will examine the relationship between technological innovations, human biology and environments, and culture from a holistic perspective through selected readings, discussion, and written critiques. Specific topics will include competing constructions of science and nature, the biological, social, and cultural consequences of agriculture, industrialization and the chemical revolution, energy technologies, and biomedical technologies including stem cell research, assisted reproduction, and genomic medicine.",3
ANT,4255,"Ethnobotany: Plants, People, and Culture","Ethnobotany is a multidisciplinary field that investigates the relations of people to local plant populations. This course will provide a broad overview of the field, introducing students to methods of data collection and classic topics in the discipline, such as the use of plants as food, as medicine, in ritual, and in manufacture. This course will challenge students to think critically about the process of knowledge formation and the phenomenological encounter with the environment. In required lab sections, students will gain practical experience in plant identification, manufacturing processes, sensory ecology, and local “folk” knowledge of plants. Lecture three hours, nine laboratory sessions of three hours.",4
ANT,4256,"Capstone: Ethnobotany: Plants, People, and Culture","Ethnobotany is a multidisciplinary field that investigates the relations of people to local plant populations. This course will provide a broad overview of the field, introducing students to methods of data collection and classic topics in the discipline, such as the use of plants as food, as medicine, in ritual, and in manufacture. This course will challenge students to think critically about the process of knowledge formation and the phenomenological encounter with the environment. In required lab sections, students will gain practical experience in plant identification, manufacturing processes, sensory ecology, and local “folk” knowledge of plants. Lecture three hours, nine laboratory sessions of three hours.",4
ANT,4260,Anthropology of Development,"This course offers an anthropological perspective on the critical study of national and international development projects. The anthropology of development puts questions of culture and human experience at the center of analysis. Through anthropological studies of the everyday life of development, we consider the lived consequences of development for those “being developed,” as well as for those advocating development. This ethnographic approach highlights the intimacies and materialities of development experiences. Geographic/cultural areas of emphasis will be global in scope but with extra emphasis in the instructor’s area of expertise.",3
ANT,4261,Capstone: Anthropology of Development,"This course offers an anthropological perspective on the critical study of national and international development projects. The anthropology of development puts questions of culture and human experience at the center of analysis. Through anthropological studies of the everyday life of development, we consider the lived consequences of development for those “being developed,” as well as for those advocating development. This ethnographic approach highlights the intimacies and materialities of development experiences. Geographic/cultural areas of emphasis will be global in scope but with extra emphasis in the instructor’s area of expertise.",3
